cores;cidades;tempo
2;16;29.61
2;16;29.72
2;16;28.39
2;16;4.57
2;16;18.59
2;16;22.09
2;16;114.70
2;16;74.50
2;16;32.21
2;16;87.88
2;16;13.82
2;16;17.43
2;16;58.17
2;16;69.50
2;16;33.88
2;16;14.28
2;16;6.66
2;16;23.63
2;16;13.58
2;16;15.36
2;17;215.59
2;17;21.18
2;17;40.06
2;17;143.63
2;17;77.59
2;17;133.82
2;17;136.01
2;17;41.07
2;17;219.69
2;17;94.74
2;17;24.00
2;17;64.44
2;17;182.24
2;17;335.95
2;17;63.60
2;17;62.72
2;17;9.81
2;17;75.05
2;17;345.23
2;17;54.89
2;18;91.35
2;18;300.58
2;18;756.22
2;18;1379.34
2;18;950.43
2;18;601.09
2;18;1753.55
2;18;330.52
2;18;86.22
2;18;40.08
3;16;20.81
3;16;21.38
3;16;31.21
3;16;4.11
3;16;11.30
3;16;15.15
3;16;81.22
3;16;58.55
3;16;24.38
3;16;66.56
3;16;5.59
3;16;13.09
3;16;39.73
3;16;48.09
3;16;29.79
3;16;14.14
3;16;5.14
3;16;16.89
3;16;12.13
3;16;11.26
3;17;135.96
3;17;15.85
3;17;44.85
3;17;94.25
3;17;54.13
3;17;95.61
3;17;123.02
3;17;27.63
3;17;173.77
3;17;77.54
3;17;19.10
3;17;72.55
3;17;152.57
3;17;257.42
3;17;38.42
3;17;58.78
3;17;18.10
3;17;53.36
3;17;234.53
3;17;46.52
3;18;68.08
3;18;326.23
3;18;539.65
3;18;693.98
3;18;769.17
3;18;381.22
3;18;1251.83
3;18;183.78
3;18;73.16
3;18;79.42
4;16;12.58
4;16;23.64
4;16;19.75
4;16;2.78
4;16;8.11
4;16;11.57
4;16;68.63
4;16;40.66
4;16;22.23
4;16;60.64
4;16;7.17
4;16;9.89
4;16;24.87
4;16;38.59
4;16;23.61
4;16;8.88
4;16;3.73
4;16;15.16
4;16;8.01
4;16;8.66
4;17;142.81
4;17;12.95
4;17;20.04
4;17;87.80
4;17;66.12
4;17;75.12
4;17;108.23
4;17;20.20
4;17;183.81
4;17;99.66
4;17;20.11
4;17;59.78
4;17;139.11
4;17;197.45
4;17;42.22
4;17;45.80
4;17;14.11
4;17;50.68
4;17;217.93
4;17;36.72
4;18;105.19
4;18;164.84
4;18;448.62
4;18;843.06
4;18;591.94
4;18;320.62
4;18;1152.28
4;18;239.90
4;18;72.87
4;18;84.59
8;16;5.67
8;16;10.82
8;16;11.47
8;16;2.54
8;16;4.11
8;16;5.97
8;16;49.04
8;16;20.32
8;16;15.10
8;16;35.15
8;16;2.90
8;16;5.02
8;16;23.21
8;16;22.80
8;16;12.98
8;16;5.51
8;16;2.44
8;16;11.42
8;16;5.81
8;16;4.60
8;17;138.93
8;17;14.13
8;17;26.91
8;17;75.65
8;17;27.30
8;17;55.68
8;17;60.19
8;17;14.42
8;17;132.53
8;17;45.81
8;17;15.54
8;17;44.46
8;17;102.14
8;17;124.77
8;17;27.85
8;17;32.34
8;17;9.50
8;17;33.73
8;17;125.64
8;17;22.91
8;18;65.51
8;18;220.58
8;18;289.45
8;18;656.56
8;18;372.31
8;18;259.94
8;18;692.69
8;18;120.67
8;18;60.55
8;18;47.74
