cores;cidades;tempo
1;16;34.02
1;16;33.83
1;16;37.45
1;16;5.92
1;16;31.61
1;16;28.22
1;16;145.33
1;16;84.83
1;16;31.66
1;16;112.87
1;16;6.88
1;16;18.45
1;16;92.50
1;16;91.29
1;16;45.60
1;16;21.78
1;16;8.73
1;16;30.19
1;16;19.39
1;16;23.41
1;17;260.87
1;17;17.48
1;17;39.13
1;17;100.69
1;17;101.44
1;17;217.34
1;17;158.38
1;17;38.63
1;17;315.30
1;17;63.85
1;17;34.79
1;17;81.82
1;17;154.44
1;17;367.48
1;17;73.75
1;17;108.05
1;17;7.05
1;17;79.99
1;17;384.59
1;17;77.96
1;18;85.65
1;18;358.30
1;18;1089.14
1;18;862.75
1;18;1215.20
1;18;424.77
1;18;2166.44
1;18;433.40
1;18;49.75
1;18;55.07
